video_id,user_name,comment,n_likes,updated_at
kZaucITWv00,@Mexaxhingon,I. N. E. Trampozo corrupto. Coludido con la maña. Presidenta del i. N. E. Debería resignarse no respeta las leyes exigimos su renuncia ya basta de corruptos hipócritas vende patria.,0,2024-04-26T13:17:29Z
kZaucITWv00,@gabrielmtz4t,"C🐽chitl es uja rata,igual que taboada ,censurame esta 🥒 ine",0,2024-04-25T21:32:25Z
kZaucITWv00,@luisespinosa4626,Es realmente  preocupante la fantastic de seriedad de los representantes de partidos. En el ine que se ocupan nomas de estarse attached. Unos a otros.  Inclusive. Con el desc😮around de desir yo represents a mi partido  y lo defiendo  Como Hiram  gonza l es o como  el professor  Hugo  Sondon  que lleva  sus camisetas proselitistas. Sean Mas respetousos. Y desechen el sinismo que les esta Ganondorf,0,2024-04-25T20:47:34Z
kZaucITWv00,@areval4,"Xóchitl, la verdad no dijo nada interesante solo estaba con la espada enviada como una adolescente",1,2024-04-25T19:15:48Z
kZaucITWv00,@Rosse-y1q,"INE protegiendo solo a PAN y PRI  de todas formas en Youtube Personas Fifis de La Roma ,De villa Coapa ,de Huixquilucan ,afectadas por cartel inmobiliario que terror de perdonas tranzas verdad Santiago Taboada .No lo. vimos en las Mañaneras ..lo vimos el La Jornada porque no los mandan censurar 😂",0,2024-04-25T17:17:13Z
kZaucITWv00,@CarmenMejia-j5l,Fekfjrjsfjakfjdkdfnfndnfdfnsnnffnxbfbfbdfjfdjfjfjdffjdfjfrbfjgtjfjgjrgt❤,0,2024-04-25T03:02:36Z
kZaucITWv00,@ElviraGasca-qj5zu,El INE sigue con corrupción la susodicha presidenta no sirve para nada vendida sra Guadalupe Taddei Zavala  corrupción desilución,0,2024-04-25T01:19:11Z
kZaucITWv00,@SamlaOruga,¿Existe un amparo que nos permita cambiar a estos candidatos?... No armo ni un tercio de humano de estas personas. Otro ejercicio electoral donde nos vemos obligados a votar por el menos diabólico?,0,2024-04-24T20:22:28Z
kZaucITWv00,@PatriciaMartínez-s6d,"Xochitl mostró  nuestra bandera de cabeza ahiiiii Dios está mujer Xochitl pondrá de cabeza el país  .todo el trabajo , recuperación y esfuerzo de la 4ta transformación  .Lo destruirá !!!!  Oooohu terminará entregando México a otros países Mi agradecimiento a la Dra.Claudia de querer continuar  desarrollando y recuperando lo mejor para México .se que usted Claudia  futura presidenta nos defenderá .",0,2024-04-23T17:15:44Z
kZaucITWv00,@jesusalbertoadamegarcia3632,HOLA 🗳️,0,2024-04-23T03:07:53Z
kZaucITWv00,@jazielgonzalez8172,"<a href=""https://www.youtube.com/watch?v=kZaucITWv00&amp;t=2996"">49:56</a>",1,2024-04-22T05:29:48Z
kZaucITWv00,@jazielgonzalez8172,"<a href=""https://www.youtube.com/watch?v=kZaucITWv00&amp;t=2456"">40:56</a>",0,2024-04-22T05:28:05Z
kZaucITWv00,@jazielgonzalez8172,"<a href=""https://www.youtube.com/watch?v=kZaucITWv00&amp;t=2720"">45:20</a>",0,2024-04-22T05:10:07Z
kZaucITWv00,@jesusvelasco8750,Clara no seas tan cinica,0,2024-04-22T02:09:12Z
kZaucITWv00,@cesarg4945,"<a href=""https://www.youtube.com/watch?v=tNuNS3WbdmQ&amp;t=521"">https://youtu.be/tNuNS3WbdmQ?si=1or6IleOkt9VkrYn&amp;t=521</a>",0,2024-04-21T20:05:34Z
kZaucITWv00,@EdwinYarel,"<a href=""https://www.youtube.com/watch?v=kZaucITWv00&amp;t=110"">1:50</a>",0,2024-04-21T06:31:30Z
kZaucITWv00,@LaloRodriguez-hn7ys,TODO EL INE ESTAN PODRIDOS SON UNOS CORRUPTOS ESTAN FAVORESIENDO AL PRIANRD.  INE RATEROS CORRUPTOS CUANTO LES ESTA PAGANDO EL PRIANRD TADEY CORRUPTA.,1,2024-04-20T02:27:53Z
kZaucITWv00,@rocioruiz8871,"Ine bajo csnales de YouTubers por criticar  la corruptela que se traen, FUERA INE, FUERA PRIAN",1,2024-04-20T01:19:00Z
kZaucITWv00,@gustavocuevas5184,"Lo único que resalto es que no hay candidatos de extremas esta vez, todos en sus propuestas están muy socialdemocratas y me parece muy bien. Basta de ataques personales eso no suman en nada al país y más mencionar con cifras como van a cumplir sus propuestas...",1,2024-04-19T06:53:59Z
kZaucITWv00,@Perla-cu9wb,"VAMOS CON TODO DOCTORA CLAUDIA, ERES NUESTRA PROPUESTA.... TÚ PUEDES, YA ES HORA DE QUE UNA MUJER EA QUIEN AHORA NOS REPRESENTE,SEAMOS CONGRUENTES,RESPETADAS AMADAS,INTELIGENTES YA SOMOS....EN TI ESTÁ LA RESPONSABILIDAD DE QUE MÉXICO ELEVE TODOS LOS NIVELES,CONFIAMOS EN TI💕",0,2024-04-18T21:39:02Z
kZaucITWv00,@Jflores1968,"Que afan de estarse atacando en vez de hacer propuestas y contestar las preguntas. Tristemente no hay a quién irle, la verdad, no importa cuál sea el color, partido o el nombre del candidato.",0,2024-04-18T16:20:02Z
kZaucITWv00,@isaacgleason2994,Extraño a mi emperador Maximiliano,0,2024-04-18T04:06:45Z
kZaucITWv00,@nicuyomesukura608,"Ine corrupto y vendido, porque no haran las preguntas de sus patrones los ciudadanos? Ustedes servidores públicos no son los dueños, ni mucho menos los patrones, bajense de su escalón haraganes",2,2024-04-17T21:55:17Z
kZaucITWv00,@Luisavila-tp7ms,INE eres un avitro vencido del prian Guadalupe tadei,0,2024-04-17T03:46:09Z
kZaucITWv00,@abner5485,"😂😂😂😂 de verdad literal el otro era peńa nieto esta es pena ŃIETAS , que tonta está esta señora de verdad. Pero es justo QUE represente a el PRI y pan muy justo",0,2024-04-17T00:18:23Z
kZaucITWv00,@Star-w4r,"VAMOS CLAUUU❤❤,TE AMO MI AMOOOF❤❤",0,2024-04-15T21:07:01Z
kZaucITWv00,@mlkm721,"Morena es una Basura, CORRUPTOS, MENTIROSOS Y MANIPULADORES!!!!   Ni un Voto a Morena.",0,2024-04-15T13:38:19Z
kZaucITWv00,@alejandrodominguez2501,"Arreglen su corrupción, perdón su cronómetro dejen de favorecer a su candidata.",1,2024-04-15T03:12:05Z
kZaucITWv00,@ananavarretemercer3256,Los 3 Candidatos me parecen bien preparados y con buenas propuestas. Vamos mejorando en ese aspecto. Ojalá que el que quedara pudiera invitar a los otros 2 a su gobierno. Me molesta que los partidos dividan en lugar de unirse por el bien de Mexico,0,2024-04-14T20:52:00Z
kZaucITWv00,@ACECOCUAUTLA,"LA CANDIDATA DEL PRIAN.... Y LA CANDIDATA DEL PRIMOR?????? NO OLVIDEMOS QUE MORENA ESTA LLENO DE LOS PEORES EXPRIISTAS, PANISTAS Y PERREDISTAS (HASTA DEL VERDE) Y QUE LA MAYORIA DE LOS CASOS SON LOS QUE VAN DE CANDIDATOS MAS FUERTES, ES UNA BURLA PARA EL PUEBLO QUE NOS QUIERAN VER LA CARA ASÍ, E INCLUSO ALGUNOS LOS DEFIENDEN",0,2024-04-14T18:00:44Z
kZaucITWv00,@MonicaAragon-ng1pt,"Necesitamos escuchar propuestas y soluciones viables! Paso 1, 2, 3…. Dejen de estar atacándose, al final eso no soluciona nada, simplemente dejan ver que no hay un candidato fuerte. Hay que hacer que las cosas sucedan… y eso solo trabajando en equipo, con empatía, con liderazgo.",0,2024-04-14T17:59:07Z
kZaucITWv00,@fer3.0fg67,Casi no se vio el favoritismo a Xochitl por parte del INE,0,2024-04-14T06:55:44Z
kZaucITWv00,@christianavilescervantes8527,Ni un vasito de agua pa estas pobres 😂 por eso se le atora la R 😂,0,2024-04-14T04:16:49Z
kZaucITWv00,@publicidadesetcoficial8392,"<a href=""https://www.youtube.com/shorts/RlxoHsHHN1c"">https://youtube.com/shorts/RlxoHsHHN1c?si=XDXNYQKXXNPvYl-a</a><br><br>Esto es una trampa que molesta a muchos por parte de ustedes",0,2024-04-14T02:37:19Z
kZaucITWv00,@FerrocarrileroDeAcero,😂Bien gelatinera pero sabe hablar francés 🇫🇷 ehh 😅😂<br>&quot;IMPOGTANTE&quot;<br>Y además de todo bruja 🧙‍♀️ porque puede hablar con los muertos 💀!!<br>Nombre una genio! 😂😅,0,2024-04-14T00:15:16Z
kZaucITWv00,@officialwonyoungcakee,Lenguaje de señas que,0,2024-04-13T21:57:11Z
kZaucITWv00,@leti6123,"Pues yo si votaré por Claudia, muchos y me refiero a la generación de “chavos” quieren votar por maynez por su canción y por su sonrisa. Les recuerdo que así estaba Peña Nieto. Y Xóchitl bueno esa señora es lo peor.",0,2024-04-13T21:08:58Z
kZaucITWv00,@YouTubeCreashon,"Promesas pueden haber muchas,No olvidemos mexicanos tiempos pasados, Es decir Tlatelolco 68, La crisis del 94,La famosa llamada Guerra contra el narcotráfico, No olvidemos alos 43 normalistas ,No olvidemos eso mexicanos,No se dejen envolver con las propuestas del Prian Las Promesas que Xochilt son solo para querer seguir robando ,Pero yo al menos y muchos más tendremos la certeza de que el Ni Perdon ni Olvido es suficiente para no volver con los ladrones corruptos y prianistas MIS RESPETOS Y MI VOTO PARA LA CANDIDATA DE MORENA SÑRA CLAUDIA",0,2024-04-13T20:09:27Z
kZaucITWv00,@joetagle909,"Sra Claudia debería darle pena de decir que los inmigrantes y migrantes de México en Estados Unidos sostienen la economía no se supone que el presidente cambio eso ah entonces se contradicen ustedes ya que por otros estamos mejor no por este estupido gobierno inepto 🙄 usted no mejoraron nada se quejan de lo anterior conservadores etc y que el PRI y el PAN y toda esa basura que escupen, pero vamos viendo cuando estúpido priista  y panista hay en tu partido  empezando con tu presidente así mejor ya cállense y lárguese que ya basta de todos ustedes son de weba y nos hacen nada más que usar nuestros impuestos para hacer estupideces de que sirve que den dinero al pueblo si luego no va haber nada y crearon una deuda la estúpida inflación que crearon 😡",0,2024-04-13T19:59:54Z
kZaucITWv00,@nicuyomesukura608,Porque una tipa que sus padres no son mexicanos y que es una inepta corrupta esta en una contienda para ser presidenta? Todos los del ine son corruptos y comprados? Deben ser removidos y juzgados por ineptos y corruptos,0,2024-04-13T19:53:24Z
kZaucITWv00,@nicuyomesukura608,"Los mexicanos exigimos que las marraneras sean eliminadas, cuestan millones a los mexicanos y solo son para que un ególatra se alabe, engañe y meta sus narices donde no le llaman y hace poliquiteria barata y basura",0,2024-04-13T19:49:51Z
kZaucITWv00,@joetagle909,"Quién fue el escogió al moderador parece su primera chamba, es un inepto e incompetente 😡",0,2024-04-13T19:34:10Z
kZaucITWv00,@jimenezdominguezyuriel4944,"<a href=""https://www.youtube.com/watch?v=kZaucITWv00&amp;t=5361"">1:29:21</a> épico 😂",0,2024-04-13T18:18:48Z
kZaucITWv00,@dakersk81,que pendeja esta la ruka del prian,1,2024-04-13T10:22:33Z
kZaucITWv00,@YoselinVega-m7p,Corrucion dijo Xochitl 😂,0,2024-04-13T05:48:30Z
kZaucITWv00,@lucysalazar988,¿Y las propuestas sobre la escaces de agua en México?😢,0,2024-04-13T02:55:22Z
kZaucITWv00,@kevinparatt319,Que hablen sobre BRICS,0,2024-04-13T02:28:07Z
kZaucITWv00,@mitsuo8222,Yo vi demasiadas mentiras de la candidata oficialista.. Xochitl es una persona auténtica... Uno de sus principios es conducirse con la verdad... Para salir adelante como País es importante la verdad .. Xochitl Va!!! <br><br>PD. El formato propuesto x INE Muy malo.. espero que pueda haber un verdadero debate para contrastar las visiones de cada candidato,0,2024-04-13T01:36:16Z
kZaucITWv00,@marumontesdeoca1799,"La candidata del oficialismo Claudia,  ha dado datos falsos con gran convicción y cinismo",0,2024-04-13T01:26:45Z
kZaucITWv00,@guadalupesegundoacosta6265,Soy maynes 😢 el mejor preparado 😢,0,2024-04-13T00:33:01Z
kZaucITWv00,@KristelBerenice-m9d,Maynez o clau❤❤❤❤,0,2024-04-12T22:10:05Z
kZaucITWv00,@betomartinez2781,La Sra x ni vergüenza tiene,0,2024-04-12T20:04:23Z
kZaucITWv00,@betomartinez2781,Tienes buenas propuestas  de movimiento ciudadano soy de morena pero hay que ser sinceros,0,2024-04-12T20:02:49Z
kZaucITWv00,@betomartinez2781,Yo tengo una hija en enfermería de Tepic en Lic . Y ya le falta su año de servicio . Gracias a nuestro gobierno alumna Iris Guadalupe Solano Gallardo,0,2024-04-12T19:29:58Z
kZaucITWv00,@josefinamartinez5671,Ni con la ayuda del Ine pudo ganar el devate la tarada de Xochil 😂😂😂,0,2024-04-12T14:52:57Z
kZaucITWv00,@georginagonzalez6425,"No entiendo porque Claudia, usa la palabra Neoliberal para referirse a los partidos del PRI-PAN-PRD, como algo despectivo, si la palabra en si se refiere a progreso, no es lo que buscamos como Mexicanos? Que alguien me explique! :) <br><a href=""https://es.wikipedia.org/wiki/Neoliberalismo"">https://es.wikipedia.org/wiki/Neoliberalismo</a>",1,2024-04-12T14:07:44Z
kZaucITWv00,@ruizj.antonio2049,Alguien mas vio el debate para hacer un YTPH o para sacar memes?,0,2024-04-12T06:09:54Z
kZaucITWv00,@sergiogarcia5480,"El INE es cun corrupto le robo el tiempo a Claudia en TV abierta a partir del minuto <a href=""https://www.youtube.com/watch?v=kZaucITWv00&amp;t=1002"">16:42</a> se ve que de <a href=""https://www.youtube.com/watch?v=kZaucITWv00&amp;t=210"">3:30</a> le quitaron más de 20 segundos se ve y por eso dejaron de poner el tiempo hasta que regreso le han de a ver robado durante todo el debate solo por que México quiere democrácia por eso México no los quiere de vuelta bola de corruptos nunca volverán",0,2024-04-12T05:49:39Z
kZaucITWv00,@IsabelCandelas-uq9gz,El debate lo está ganando CLAUDIA SHEIUBAUM.,1,2024-04-12T05:37:22Z
kZaucITWv00,@atestiguame-ly4mu,Puro teatro telenovelesco,0,2024-04-12T05:36:58Z
kZaucITWv00,@CnC9903,"<a href=""https://www.youtube.com/watch?v=kZaucITWv00&amp;t=3906"">1:05:06</a>",0,2024-04-12T05:29:32Z
kZaucITWv00,@aguadejamaica77,"Se menciona la digitalización como la luz al final del túnel, ahí está el caso de las laptops y pantallas del gobierno de Peña, basura adornada para una población hedonista irracional",0,2024-04-12T04:56:07Z
kZaucITWv00,@asktoseducemiss434,Xóchitl: 0 proposals and a thousand attacks on Claudia jaja,0,2024-04-12T03:55:28Z
kZaucITWv00,@SantiagoGomezascencio,Si. Mas apoyo tambien a las privadas. Muchos estudian las licenciaturas en privadas porque trabajan para solventar gastos.,0,2024-04-12T03:28:13Z
kZaucITWv00,@SantiagoGomezascencio,Cierto. El sistema de salud esta por los suelos. No hay nada de medicamentos,0,2024-04-12T03:14:39Z
